contrast,estimate,ci_low,ci_high,margin,rope_mass,n,se,p_tost,interval_inside_margin,passes,method,ligand,sensitivity_axis,tested_margin
erk_minus_akt_residence_all,0.0050724638,-0.036987406,0.047132333,0.05,,180,0.025570585,0.039458844,1,1,normal_approximation,all,margin,0.05
erk_minus_akt_residence_His,-0.17608696,-0.24911018,-0.10306374,0.05,,60,0.044394966,0.99774516,0,0,normal_approximation,His,margin,0.05
erk_minus_akt_residence_S1P,0.22173913,0.16057492,0.28290334,0.05,,60,0.037185199,0.99999807,0,0,normal_approximation,S1P,margin,0.05
erk_minus_akt_residence_UK,-0.030434783,-0.087986983,0.027117418,0.05,,60,0.034989254,0.28802016,0,0,normal_approximation,UK,margin,0.05
erk_minus_akt_residence_all,0.0050724638,-0.036987406,0.047132333,0.075,,180,0.025570585,0.0031219847,1,1,normal_approximation,all,margin,0.075
erk_minus_akt_residence_His,-0.17608696,-0.24911018,-0.10306374,0.075,,60,0.044394966,0.98860663,0,0,normal_approximation,His,margin,0.075
erk_minus_akt_residence_S1P,0.22173913,0.16057492,0.28290334,0.075,,60,0.037185199,0.99996029,0,0,normal_approximation,S1P,margin,0.075
erk_minus_akt_residence_UK,-0.030434783,-0.087986983,0.027117418,0.075,,60,0.034989254,0.10138789,0,0,normal_approximation,UK,margin,0.075
erk_minus_akt_residence_all,0.0050724638,-0.036987406,0.047132333,0.1,,180,0.025570585,0.00010266276,1,1,normal_approximation,all,margin,0.1
erk_minus_akt_residence_His,-0.17608696,-0.24911018,-0.10306374,0.1,,60,0.044394966,0.95672319,0,0,normal_approximation,His,margin,0.1
erk_minus_akt_residence_S1P,0.22173913,0.16057492,0.28290334,0.1,,60,0.037185199,0.99946955,0,0,normal_approximation,S1P,margin,0.1
erk_minus_akt_residence_UK,-0.030434783,-0.087986983,0.027117418,0.1,,60,0.034989254,0.023395445,1,1,normal_approximation,UK,margin,0.1
erk_minus_akt_residence_all,0.0050724638,-0.036987406,0.047132333,0.125,,180,0.025570585,1.3656357e-06,1,1,normal_approximation,all,margin,0.125
erk_minus_akt_residence_His,-0.17608696,-0.24911018,-0.10306374,0.125,,60,0.044394966,0.8750799,0,0,normal_approximation,His,margin,0.125
erk_minus_akt_residence_S1P,0.22173913,0.16057492,0.28290334,0.125,,60,0.037185199,0.99535981,0,0,normal_approximation,S1P,margin,0.125
erk_minus_akt_residence_UK,-0.030434783,-0.087986983,0.027117418,0.125,,60,0.034989254,0.00343901,1,1,normal_approximation,UK,margin,0.125
erk_minus_akt_residence_all,0.0050724638,-0.036987406,0.047132333,0.15,,180,0.025570585,7.2344859e-09,1,1,normal_approximation,all,margin,0.15
erk_minus_akt_residence_His,-0.17608696,-0.24911018,-0.10306374,0.15,,60,0.044394966,0.72160318,0,0,normal_approximation,His,margin,0.15
erk_minus_akt_residence_S1P,0.22173913,0.16057492,0.28290334,0.15,,60,0.037185199,0.97314939,0,0,normal_approximation,S1P,margin,0.15
erk_minus_akt_residence_UK,-0.030434783,-0.087986983,0.027117418,0.15,,60,0.034989254,0.00031634589,1,1,normal_approximation,UK,margin,0.15
erk_minus_akt_residence_all,0.0050724638,-0.036987406,0.047132333,0.175,,180,0.025570585,1.5116643e-11,1,1,normal_approximation,all,margin,0.175
erk_minus_akt_residence_His,-0.17608696,-0.24911018,-0.10306374,0.175,,60,0.044394966,0.50976664,0,0,normal_approximation,His,margin,0.175
erk_minus_akt_residence_S1P,0.22173913,0.16057492,0.28290334,0.175,,60,0.037185199,0.89561021,0,0,normal_approximation,S1P,margin,0.175
erk_minus_akt_residence_UK,-0.030434783,-0.087986983,0.027117418,0.175,,60,0.034989254,1.8004244e-05,1,1,normal_approximation,UK,margin,0.175
erk_minus_akt_residence_all,0.0050724638,-0.036987406,0.047132333,0.2,,180,0.025570585,1.2381207e-14,1,1,normal_approximation,all,margin,0.2
erk_minus_akt_residence_His,-0.17608696,-0.24911018,-0.10306374,0.2,,60,0.044394966,0.29506656,0,0,normal_approximation,His,margin,0.2
erk_minus_akt_residence_S1P,0.22173913,0.16057492,0.28290334,0.2,,60,0.037185199,0.72059765,0,0,normal_approximation,S1P,margin,0.2
erk_minus_akt_residence_UK,-0.030434783,-0.087986983,0.027117418,0.2,,60,0.034989254,6.2921635e-07,1,1,normal_approximation,UK,margin,0.2
erk_minus_akt_residence_all,0.0050724638,-0.036987406,0.047132333,0.225,,180,0.025570585,3.9580512e-18,1,1,normal_approximation,all,margin,0.225
erk_minus_akt_residence_His,-0.17608696,-0.24911018,-0.10306374,0.225,,60,0.044394966,0.13528083,0,0,normal_approximation,His,margin,0.225
erk_minus_akt_residence_S1P,0.22173913,0.16057492,0.28290334,0.225,,60,0.037185199,0.46506047,0,0,normal_approximation,S1P,margin,0.225
erk_minus_akt_residence_UK,-0.030434783,-0.087986983,0.027117418,0.225,,60,0.034989254,1.3433691e-08,1,1,normal_approximation,UK,margin,0.225
erk_minus_akt_residence_all,0.0050724638,-0.036987406,0.047132333,0.25,,180,0.025570585,4.9238089e-22,1,1,normal_approximation,all,margin,0.25
erk_minus_akt_residence_His,-0.17608696,-0.24911018,-0.10306374,0.25,,60,0.044394966,0.04796666,1,1,normal_approximation,His,margin,0.25
erk_minus_akt_residence_S1P,0.22173913,0.16057492,0.28290334,0.25,,60,0.037185199,0.22362634,0,0,normal_approximation,S1P,margin,0.25
erk_minus_akt_residence_UK,-0.030434783,-0.087986983,0.027117418,0.25,,60,0.034989254,1.7457158e-10,1,1,normal_approximation,UK,margin,0.25
erk_minus_akt_residence_all,0.0050724638,-0.036987406,0.047132333,0.3,,180,0.025570585,4.45298e-31,1,1,normal_approximation,all,margin,0.3
erk_minus_akt_residence_His,-0.17608696,-0.24911018,-0.10306374,0.3,,60,0.044394966,0.0026260502,1,1,normal_approximation,His,margin,0.3
erk_minus_akt_residence_S1P,0.22173913,0.16057492,0.28290334,0.3,,60,0.037185199,0.017662016,1,1,normal_approximation,S1P,margin,0.3
erk_minus_akt_residence_UK,-0.030434783,-0.087986983,0.027117418,0.3,,60,0.034989254,6.5503158e-15,1,1,normal_approximation,UK,margin,0.3
