dataset,cell_id,ligand,concentration,replicate,n_points,time_start_min,time_end_min,total_time_min,erk_threshold,akt_threshold,erk_residence_fraction,akt_residence_fraction,erk_residence_time_min,akt_residence_time_min,erk_minus_akt_residence_fraction
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10001,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.30434783,0.086956522,24.5,7,0.2173913
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10003,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.043478261,0.2173913,3.5,17.5,-0.17391304
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10004,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.17391304,0.69565217,14,56,-0.52173913
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10007,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.043478261,0,3.5,0,0.043478261
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10012,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.39130435,0.91304348,31.5,73.5,-0.52173913
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10014,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.47826087,0.65217391,38.5,52.5,-0.17391304
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10016,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.043478261,0.43478261,3.5,35,-0.39130435
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10018,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.39130435,1,31.5,80.5,-0.60869565
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10021,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.043478261,0,3.5,0,0.043478261
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10023,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.086956522,0,7,0,0.086956522
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10024,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.086956522,0,7,0,0.086956522
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10028,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0,0.13043478,0,10.5,-0.13043478
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10029,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.086956522,0.043478261,7,3.5,0.043478261
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10031,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0,0.65217391,0,52.5,-0.65217391
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10033,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0,0,0,0,0
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10034,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.086956522,0.52173913,7,42,-0.43478261
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10035,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.34782609,1,28,80.5,-0.65217391
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10036,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.043478261,0.043478261,3.5,3.5,0
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10037,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.043478261,0,3.5,0,0.043478261
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10038,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.086956522,0.086956522,7,7,0
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10039,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.13043478,0.30434783,10.5,24.5,-0.17391304
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10040,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.086956522,0.34782609,7,28,-0.26086957
erk_gpcr_ktr_wan2021,erk_akt_His_20200526_P1_10041,His,28.6,20200526 P1,24,2.5,83,80.5,0.7623,0.5892,0.13043478,0.7826087,10.5,63,-0.65217391
