contrast,estimate,ci_low,ci_high,margin,rope_mass,n,se,p_tost,interval_inside_margin,passes,method,ligand,sensitivity_axis,threshold_quantile,erk_threshold,akt_threshold
erk_minus_akt_residence_all,0.0038647343,-0.042932732,0.050662201,0.2,,180,0.028450839,2.7154853e-12,1,1,normal_approximation,all,threshold_quantile,0.6,0.6434,0.5412
erk_minus_akt_residence_His,-0.17971014,-0.25952148,-0.099898814,0.2,,60,0.048521844,0.33791537,0,0,normal_approximation,His,threshold_quantile,0.6,0.6434,0.5412
erk_minus_akt_residence_S1P,0.23550725,0.17297436,0.29804014,0.2,,60,0.038017297,0.82484189,0,0,normal_approximation,S1P,threshold_quantile,0.6,0.6434,0.5412
erk_minus_akt_residence_UK,-0.044202899,-0.1186383,0.030232502,0.2,,60,0.04525351,0.00028790207,1,1,normal_approximation,UK,threshold_quantile,0.6,0.6434,0.5412
erk_minus_akt_residence_all,0.004589372,-0.042290136,0.05146888,0.2,,180,0.028500717,3.5323383e-12,1,1,normal_approximation,all,threshold_quantile,0.65,0.6768,0.5559
erk_minus_akt_residence_His,-0.1826087,-0.26188118,-0.10333621,0.2,,60,0.048194246,0.35910261,0,0,normal_approximation,His,threshold_quantile,0.65,0.6768,0.5559
erk_minus_akt_residence_S1P,0.23623188,0.17192044,0.30054332,0.2,,60,0.03909858,0.82295373,0,0,normal_approximation,S1P,threshold_quantile,0.65,0.6768,0.5559
erk_minus_akt_residence_UK,-0.039855072,-0.11350608,0.03379593,0.2,,60,0.04477663,0.00017409319,1,1,normal_approximation,UK,threshold_quantile,0.65,0.6768,0.5559
erk_minus_akt_residence_all,0.004589372,-0.039796008,0.048974752,0.2,,180,0.026984395,2.216848e-13,1,1,normal_approximation,all,threshold_quantile,0.7,0.7172,0.5721
erk_minus_akt_residence_His,-0.17173913,-0.24578402,-0.09769424,0.2,,60,0.045016097,0.2650692,0,0,normal_approximation,His,threshold_quantile,0.7,0.7172,0.5721
erk_minus_akt_residence_S1P,0.22246377,0.15700064,0.2879269,0.2,,60,0.039798759,0.71377056,0,0,normal_approximation,S1P,threshold_quantile,0.7,0.7172,0.5721
erk_minus_akt_residence_UK,-0.036956522,-0.10389783,0.029984785,0.2,,60,0.040697425,3.0847035e-05,1,1,normal_approximation,UK,threshold_quantile,0.7,0.7172,0.5721
erk_minus_akt_residence_all,0.0050724638,-0.036987406,0.047132333,0.2,,180,0.025570585,1.2381207e-14,1,1,normal_approximation,all,threshold_quantile,0.75,0.7623,0.5892
erk_minus_akt_residence_His,-0.17608696,-0.24911018,-0.10306374,0.2,,60,0.044394966,0.29506656,0,0,normal_approximation,His,threshold_quantile,0.75,0.7623,0.5892
erk_minus_akt_residence_S1P,0.22173913,0.16057492,0.28290334,0.2,,60,0.037185199,0.72059765,0,0,normal_approximation,S1P,threshold_quantile,0.75,0.7623,0.5892
erk_minus_akt_residence_UK,-0.030434783,-0.087986983,0.027117418,0.2,,60,0.034989254,6.2921635e-07,1,1,normal_approximation,UK,threshold_quantile,0.75,0.7623,0.5892
erk_minus_akt_residence_all,0.0053140097,-0.032745264,0.043373283,0.2,,180,0.023138395,1.9816451e-17,1,1,normal_approximation,all,threshold_quantile,0.8,0.8135,0.6067
erk_minus_akt_residence_His,-0.17318841,-0.23940639,-0.10697042,0.2,,60,0.040257675,0.25270569,0,0,normal_approximation,His,threshold_quantile,0.8,0.8135,0.6067
erk_minus_akt_residence_S1P,0.20217391,0.14662663,0.2577212,0.2,,60,0.033770351,0.52566355,0,0,normal_approximation,S1P,threshold_quantile,0.8,0.8135,0.6067
erk_minus_akt_residence_UK,-0.013043478,-0.062640329,0.036553373,0.2,,60,0.030152744,2.8175084e-10,1,1,normal_approximation,UK,threshold_quantile,0.8,0.8135,0.6067
erk_minus_akt_residence_all,0.0043478261,-0.029209579,0.037905231,0.2,,180,0.020401454,4.3995772e-22,1,1,normal_approximation,all,threshold_quantile,0.85,0.8854,0.6335
erk_minus_akt_residence_His,-0.14347826,-0.20358455,-0.083371974,0.2,,60,0.036542028,0.060960591,0,0,normal_approximation,His,threshold_quantile,0.85,0.8854,0.6335
erk_minus_akt_residence_S1P,0.17826087,0.12643051,0.23009123,0.2,,60,0.03151062,0.245129,0,0,normal_approximation,S1P,threshold_quantile,0.85,0.8854,0.6335
erk_minus_akt_residence_UK,-0.02173913,-0.06085435,0.017376089,0.2,,60,0.023780365,3.2862602e-14,1,1,normal_approximation,UK,threshold_quantile,0.85,0.8854,0.6335
