fig_id	format	path	bytes	sha256
FIG-001	pdf	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-001/FIG-001.pdf	28564	dca10dbe81445e5d7ef60adfe5e0016a167389fe025adfd776998d86a83fff9a
FIG-001	png	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-001/FIG-001.png	213831	b212600b0d8e7be5c6472063ebe7beb70b2ae74d6fbef5614a19f280b799c594
FIG-001	svg	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-001/FIG-001.svg	158936	184babb2997fc4fdd0298a09641e0c8fe9522aca3bfcf80fedf7526941ea3e55
FIG-002	pdf	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-002/FIG-002.pdf	32219	c9f27f4aa252f714e93a54bce32e665a764b2b298402f221f054471871ba253c
FIG-002	png	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-002/FIG-002.png	223527	dd2524709aec51ed40e1f0e51c5cb10cbadbd4561f90564ec660dd61457225d1
FIG-002	svg	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-002/FIG-002.svg	181992	6a91c63514e7eeb9c2fbb5ca3bec328e520ed6df35e25aca51d9d90ff594f457
FIG-003	pdf	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-003/FIG-003.pdf	37097	e179fc7c3d805d212a7c32a8945eaf5bfe0ec3d55e246c0fe833087d09cd4390
FIG-003	png	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-003/FIG-003.png	281265	b4a9020677e04eb99ef6d8951f3b2f2d3845293b2a104e4ade747f711ce002a3
FIG-003	svg	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-003/FIG-003.svg	229974	b83bafe9b46e87464b5a2afc73f6c757fb469b1180ef8040809918e5e61b60be
FIG-004	pdf	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-004/FIG-004.pdf	30347	7d07c990b737bebe6d4ef5df5e1b72cbbe36a21b744b47c712fb5de203f34bfa
FIG-004	png	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-004/FIG-004.png	207710	d780476f0aaec243cf9cd46d51050823a75032205b4e0f900fea84dd2bbf0347
FIG-004	svg	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-004/FIG-004.svg	173896	6d804b456275d5631699ce5d91c9a8605d2d02972fe4be7627c743b469266c75
FIG-005	pdf	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-005/FIG-005.pdf	31654	7a732e19c767c2f3b0b08733569a70dc0c552308b4858707f66a2462217b4883
FIG-005	png	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-005/FIG-005.png	198828	3126527deb680e486a3661f5babe1df221c11a81c29b5673beaf66847a2f8097
FIG-005	svg	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-005/FIG-005.svg	163573	d8182bb27f9544e97c5c018072ca7528d153b03b2d586b65187601b14beb431e
FIG-006	pdf	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-006/FIG-006.pdf	30256	ca03ad8e5215d67dba657c961b14bc2692981a91bbbc8f70a92ddd06c61aeb35
FIG-006	png	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-006/FIG-006.png	192799	4db8de1ee2581ab0ffc5427c13d70c41da51a66d8d24bba9d80248dd45103bad
FIG-006	svg	case_studies/stage10_rendered_figure_visual_qc/review_rendered/FIG-006/FIG-006.svg	161100	1dd83c45be72b761d1eddbfd3754848c37d66ddf1691e6363bffc4102f76e165
