fig_id	format	path	bytes	sha256
FIG-001	pdf	case_studies/stage10_rendered_figures/rendered/FIG-001/FIG-001.pdf	43500	529c4ec2d640dfcedb85207f82d242f80d22310b69671b201ab28cad98bc9582
FIG-001	png	case_studies/stage10_rendered_figures/rendered/FIG-001/FIG-001.png	403513	d6fed14b04c7c254083011548ce7c7eb79fefcdd798b88c515c9fc054d5b4a07
FIG-001	svg	case_studies/stage10_rendered_figures/rendered/FIG-001/FIG-001.svg	40826	60d825f17911772bba8d04334ebe7445ac3e8ae515e5fff86141d61fc0f4eae9
FIG-002	pdf	case_studies/stage10_rendered_figures/rendered/FIG-002/FIG-002.pdf	57936	d8aa9170b03e2179c4fdeee65d7f06bc0dd6a46db0a24cb39793122d3f1d5c16
FIG-002	png	case_studies/stage10_rendered_figures/rendered/FIG-002/FIG-002.png	552265	3ca6c77b21eeef653f70dc657635a5ebb9b7eedceb411084fc943ce38d756d85
FIG-002	svg	case_studies/stage10_rendered_figures/rendered/FIG-002/FIG-002.svg	55655	620cb8d9e3f8aa2d5781f1ef039fb7e803de726560ea81e41b7f926915f568d2
FIG-003	pdf	case_studies/stage10_rendered_figures/rendered/FIG-003/FIG-003.pdf	51064	010c3006336020a45a7842519d9afe53269dcf8412b5c4778ee416b0b6cc5087
FIG-003	png	case_studies/stage10_rendered_figures/rendered/FIG-003/FIG-003.png	540077	9d33016ac8668fed79f67e42051105fe912a5266acff7c5023ef1b3165562a44
FIG-003	svg	case_studies/stage10_rendered_figures/rendered/FIG-003/FIG-003.svg	110768	b12c4bfd408c7fb33f9761176734cd65c9c3d86301dcc1338d045f1441932e65
FIG-004	pdf	case_studies/stage10_rendered_figures/rendered/FIG-004/FIG-004.pdf	61886	cec2861982ef7ad680e0543f208140389b319a0e61c6fbfc190e9bb0c1774045
FIG-004	png	case_studies/stage10_rendered_figures/rendered/FIG-004/FIG-004.png	478188	8aded0020b95cadd24241f4c7846565cb1c9f3b266789afd6fb389735af50f83
FIG-004	svg	case_studies/stage10_rendered_figures/rendered/FIG-004/FIG-004.svg	52079	478e3cedff458f08c9940760bce843526dbed9273f4415d0b423a6b8bdad6e29
FIG-005	pdf	case_studies/stage10_rendered_figures/rendered/FIG-005/FIG-005.pdf	48533	772d5fb278bfb6826accfb5f720a25b85f241994e08c343c066ce1f89e9b77d7
FIG-005	png	case_studies/stage10_rendered_figures/rendered/FIG-005/FIG-005.png	430380	50811c1dc86b9771c74aa9d32e3d7802b6810249747212c061a5859781416999
FIG-005	svg	case_studies/stage10_rendered_figures/rendered/FIG-005/FIG-005.svg	49793	cb85a0a5f22d7460e46bdfa58722ab24833fd2788fbc0119087b5b0d48799153
FIG-006	pdf	case_studies/stage10_rendered_figures/rendered/FIG-006/FIG-006.pdf	41485	5871a65febafa117f4588294a1e54ccec15721a46739c7d024887ce2fe042a7c
FIG-006	png	case_studies/stage10_rendered_figures/rendered/FIG-006/FIG-006.png	447156	a103ccf73ba9d1fa6e04c648d8f8de60a46ee8265b803ec5dfac230a785a3b33
FIG-006	svg	case_studies/stage10_rendered_figures/rendered/FIG-006/FIG-006.svg	52556	ab14b2eabf767ac29c3a65c541099998ce7a80df41d871307c67a33cdb38ae67
