sample_id,time,condition,response,replicate,endpoint_count,endpoint_set,observed_burden_fraction,reserve_like_coordinate,compartment_route_predicted_reserve_like,endpoint_prevalence_predicted_reserve_like,prevalence_minus_routed_absolute_error,interpretation_boundary
00f1c473269b,0,mitotox_cell_health_endpoint_preservation,1,compound,5,apoptosis up;cytotoxicity BLA;cytotoxicity SRB;mitochondrial disruption up;proliferation decrease,0,1,0.88,0.85296804,0.027031962,cell-health endpoint preservation coordinate; not live metabolic reserve
012185fc04d0,0,mitotox_cell_health_endpoint_preservation,1,compound,5,apoptosis up;cytotoxicity BLA;cytotoxicity SRB;mitochondrial disruption up;proliferation decrease,0,1,0.92,0.85296804,0.067031962,cell-health endpoint preservation coordinate; not live metabolic reserve
017686864ebf,0,mitotox_cell_health_endpoint_preservation,1,compound,5,apoptosis up;cytotoxicity BLA;cytotoxicity SRB;mitochondrial disruption up;proliferation decrease,0,1,0.88,0.85296804,0.027031962,cell-health endpoint preservation coordinate; not live metabolic reserve
01d4046e2b3d,0,mitotox_cell_health_endpoint_preservation,1,compound,5,apoptosis up;cytotoxicity BLA;cytotoxicity SRB;mitochondrial disruption up;proliferation decrease,0,1,0.88,0.85296804,0.027031962,cell-health endpoint preservation coordinate; not live metabolic reserve
02c8fb057b7c,0,mitotox_cell_health_endpoint_preservation,1,compound,5,apoptosis up;cytotoxicity BLA;cytotoxicity SRB;mitochondrial disruption up;proliferation decrease,0,1,0.88,0.85296804,0.027031962,cell-health endpoint preservation coordinate; not live metabolic reserve
032d0a7d845d,0,mitotox_cell_health_endpoint_preservation,0.8,compound,5,apoptosis up;cytotoxicity BLA;cytotoxicity SRB;mitochondrial disruption up;proliferation decrease,0.2,0.8,1,0.85327245,-0.14672755,cell-health endpoint preservation coordinate; not live metabolic reserve
037d09faa0c4,0,mitotox_cell_health_endpoint_preservation,0,compound,5,apoptosis up;cytotoxicity BLA;cytotoxicity SRB;mitochondrial disruption up;proliferation decrease,1,0,0.68,0.85449011,0.17449011,cell-health endpoint preservation coordinate; not live metabolic reserve
03b590def460,0,mitotox_cell_health_endpoint_preservation,0.6,compound,5,apoptosis up;cytotoxicity BLA;cytotoxicity SRB;mitochondrial disruption up;proliferation decrease,0.4,0.6,0.96,0.85357687,-0.10642313,cell-health endpoint preservation coordinate; not live metabolic reserve
03de61f16740,0,mitotox_cell_health_endpoint_preservation,0.4,compound,5,apoptosis up;cytotoxicity BLA;cytotoxicity SRB;mitochondrial disruption up;proliferation decrease,0.6,0.4,0.8,0.85388128,0.05388128,cell-health endpoint preservation coordinate; not live metabolic reserve
0497de434102,0,mitotox_cell_health_endpoint_preservation,1,compound,5,apoptosis up;cytotoxicity BLA;cytotoxicity SRB;mitochondrial disruption up;proliferation decrease,0,1,0.92,0.85296804,0.067031962,cell-health endpoint preservation coordinate; not live metabolic reserve
04a4983a2185,0,mitotox_cell_health_endpoint_preservation,1,compound,5,apoptosis up;cytotoxicity BLA;cytotoxicity SRB;mitochondrial disruption up;proliferation decrease,0,1,0.88,0.85296804,0.027031962,cell-health endpoint preservation coordinate; not live metabolic reserve
0506858cacf2,0,mitotox_cell_health_endpoint_preservation,1,compound,5,apoptosis up;cytotoxicity BLA;cytotoxicity SRB;mitochondrial disruption up;proliferation decrease,0,1,0.76,0.85296804,-0.092968038,cell-health endpoint preservation coordinate; not live metabolic reserve
05b43b9e6ce5,0,mitotox_cell_health_endpoint_preservation,0.8,compound,5,apoptosis up;cytotoxicity BLA;cytotoxicity SRB;mitochondrial disruption up;proliferation decrease,0.2,0.8,1,0.85327245,-0.14672755,cell-health endpoint preservation coordinate; not live metabolic reserve
05f21f886924,0,mitotox_cell_health_endpoint_preservation,1,compound,5,apoptosis up;cytotoxicity BLA;cytotoxicity SRB;mitochondrial disruption up;proliferation decrease,0,1,0.92,0.85296804,0.067031962,cell-health endpoint preservation coordinate; not live metabolic reserve
071652f1be39,0,mitotox_cell_health_endpoint_preservation,1,compound,5,apoptosis up;cytotoxicity BLA;cytotoxicity SRB;mitochondrial disruption up;proliferation decrease,0,1,0.88,0.85296804,0.027031962,cell-health endpoint preservation coordinate; not live metabolic reserve
07775dd89f0c,0,mitotox_cell_health_endpoint_preservation,0.8,compound,5,apoptosis up;cytotoxicity BLA;cytotoxicity SRB;mitochondrial disruption up;proliferation decrease,0.2,0.8,0.76,0.85327245,0.013272452,cell-health endpoint preservation coordinate; not live metabolic reserve
07ffbda67bf9,0,mitotox_cell_health_endpoint_preservation,1,compound,5,apoptosis up;cytotoxicity BLA;cytotoxicity SRB;mitochondrial disruption up;proliferation decrease,0,1,0.92,0.85296804,0.067031962,cell-health endpoint preservation coordinate; not live metabolic reserve
0824a9637a90,0,mitotox_cell_health_endpoint_preservation,1,compound,5,apoptosis up;cytotoxicity BLA;cytotoxicity SRB;mitochondrial disruption up;proliferation decrease,0,1,0.68,0.85296804,-0.17296804,cell-health endpoint preservation coordinate; not live metabolic reserve
0839c86efe70,0,mitotox_cell_health_endpoint_preservation,0.8,compound,5,apoptosis up;cytotoxicity BLA;cytotoxicity SRB;mitochondrial disruption up;proliferation decrease,0.2,0.8,0.88,0.85327245,-0.026727548,cell-health endpoint preservation coordinate; not live metabolic reserve
