dataset_id,signal_name,time_unit,signal_unit,condition,cell_id,time,signal,replicate,ligand,concentration,inhibitor,experiment,date,slide,position,source_object
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,2.5,0.4113,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,6,0.4136,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,9.5,0.3802,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,13,0.3735,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,16.5,0.3814,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,20,0.3757,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,23.5,0.3921,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,27,0.411,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,30.5,0.4155,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,34,0.4039,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,37.5,0.3931,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,41,0.3928,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,44.5,0.4064,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,48,0.4139,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,51.5,0.4003,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,55,0.4053,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,58.5,0.4092,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,62,0.3941,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,65.5,0.385,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,69,0.3693,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,72.5,0.3704,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,76,0.3642,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,79.5,0.3643,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,83,0.3648,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,2.5,0.4613,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,6,0.462,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,9.5,0.4581,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,13,0.4496,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,16.5,0.4538,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,20,0.4589,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,23.5,0.4617,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,27,0.4674,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,30.5,0.467,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,34,0.4538,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,37.5,0.4512,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,41,0.4587,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,44.5,0.4703,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,48,0.473,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,51.5,0.457,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,55,0.4598,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,58.5,0.4716,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
